Season_Start,District,State,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2016,New England,CT,13026,1826,825,1295,1844,2025,1948,1688,1575
2016,New England,ME,6706,1540,328,520,771,873,800,695,1179
2016,New England,NH,5910,609,401,591,857,945,895,812,800
2016,New England,RI,4206,560,290,384,570,603,597,532,670
2016,New England,VT,4473,940,138,232,517,637,610,574,825
2016,New York,NY,50042,13891,2764,4424,5590,5995,5683,5430,6265
2016,Northern Plains,MT,4660,2600,158,207,253,343,358,372,369
2016,Northern Plains,ND,6896,595,239,432,848,976,1135,1256,1415
2016,Northern Plains,SD,2933,397,207,300,331,373,456,429,440
2016,Northern Plains,WY,2180,533,116,177,213,228,270,315,328
2016,Pacific,AK,8793,4150,305,446,625,698,735,773,1061
2016,Pacific,CA,29849,16818,1199,1743,2018,2129,2382,2096,1464
2016,Pacific,HI,239,217,2,0,2,1,4,6,7
2016,Pacific,NV,1382,843,40,89,86,103,109,78,34
2016,Pacific,OR,2734,1727,84,120,169,200,178,144,112
2016,Pacific,WA,9248,4898,326,485,598,655,766,756,764
2016,Rocky Mountain,AZ,7781,3907,348,536,564,630,644,548,604
2016,Rocky Mountain,CO,14181,4517,844,1327,1574,1548,1576,1582,1213
2016,Rocky Mountain,ID,3582,1759,165,199,267,303,304,315,270
2016,Rocky Mountain,NM,1413,604,78,103,98,154,122,114,140
2016,Rocky Mountain,OK,991,347,39,63,89,103,103,122,125
2016,Rocky Mountain,TX,14636,8696,583,789,888,1037,1007,953,683
2016,Rocky Mountain,UT,4579,2418,306,393,412,327,316,214,193
2016,Southeastern,AL,1793,699,60,81,132,154,181,232,254
2016,Southeastern,AR,437,185,14,30,31,24,39,50,64
2016,Southeastern,DC,1274,610,29,59,77,104,100,143,152
2016,Southeastern,FL,14633,8501,654,852,916,990,942,954,824
2016,Southeastern,GA,2144,520,175,303,295,293,261,170,127
2016,Southeastern,LA,605,272,17,12,23,33,43,102,103
