Season_Start,District,State,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2016,Northern Plains,MT,961,498,33,67,63,75,71,76,78
2016,Northern Plains,ND,1422,64,59,137,190,193,248,242,289
2016,Northern Plains,SD,489,14,44,59,70,63,72,75,92
2016,Northern Plains,WY,438,114,28,32,47,47,51,53,66
2016,Pacific,AK,1965,940,66,103,131,141,153,162,269
2016,Pacific,CA,2517,1128,100,167,192,208,264,258,200
2016,Pacific,HI,21,15,1,0,0,0,1,2,2
2016,Pacific,NV,67,27,1,3,6,11,7,9,3
2016,Pacific,OR,304,156,9,6,16,33,36,29,19
2016,Pacific,WA,1180,520,32,63,76,95,133,129,132
2016,Rocky Mountain,AZ,580,220,22,38,53,52,68,60,67
2016,Rocky Mountain,CO,2431,1099,98,155,212,201,224,255,187
2016,Rocky Mountain,ID,721,341,35,54,53,66,56,53,63
2016,Rocky Mountain,NM,212,56,13,16,21,27,26,17,36
2016,Rocky Mountain,OK,65,8,3,3,5,8,6,13,19
2016,Rocky Mountain,TX,882,386,23,45,78,81,64,109,96
2016,Rocky Mountain,UT,533,272,37,51,57,31,33,24,28
2016,Southeastern,AL,171,40,7,3,11,16,18,38,38
2016,Southeastern,AR,38,12,1,0,1,1,3,11,9
2016,Southeastern,DC,217,62,7,4,17,30,19,31,47
2016,Southeastern,FL,862,363,34,48,80,87,59,91,100
2016,Southeastern,GA,142,51,5,18,20,15,14,10,9
2016,Southeastern,LA,63,8,1,3,5,4,5,10,27
2016,Southeastern,MD,1284,404,65,144,153,134,128,140,116
2016,Southeastern,MS,20,4,2,2,0,1,3,4,4
2016,Southeastern,NC,513,182,19,29,64,55,47,54,63
2016,Southeastern,SC,105,38,3,7,11,10,12,13,11
2016,Southeastern,TN,273,66,11,19,15,25,40,54,43
2016,Southeastern,VA,912,266,60,67,103,94,103,118,101
2016,All,USA,75832,18040,3415,5713,8416,9660,9882,9708,10998
2017,Atlantic,DE,115,34,7,8,10,11,13,22,10
2017,Atlantic,E PA,1751,504,170,191,226,210,177,156,117
2017,Atlantic,NJ,1751,341,80,151,202,259,250,267,201
2017,Central,IL,3372,793,178,308,410,415,441,445,382
2017,Central,IA,355,69,12,25,28,41,54,61,65
2017,Central,KS,100,44,2,6,5,18,12,5,8
2017,Central,MO,771,173,22,54,67,92,111,123,129
2017,Central,NE,231,60,13,12,31,34,29,29,23
2017,Central,WI,3873,677,106,199,382,459,558,599,893
2017,Massachusetts,MA,10855,1521,606,1060,1461,1524,1581,1497,1605
2017,Michigan,MI,5041,1808,268,367,432,478,479,532,677
2017,Mid-American,IN,507,136,18,33,62,70,64,55,69
2017,Mid-American,KY,155,64,2,7,8,16,11,23,24
2017,Mid-American,OH,1195,309,72,91,131,149,151,161,131
2017,Mid-American,W PA,1321,230,75,127,151,144,169,242,183
2017,Mid-American,WV,130,14,3,10,8,22,25,24,24
2017,Minnesota,MN,13883,1920,410,714,1559,2179,2298,2375,2428
2017,New England,CT,2556,301,130,237,383,383,413,321,388
2017,New England,ME,1257,163,48,89,179,166,138,140,334
2017,New England,NH,1107,152,80,96,148,138,156,151,186
2017,New England,RI,655,107,23,34,65,85,88,103,150
2017,New England,VT,1212,169,35,72,160,195,185,170,226
2017,New York,NY,5992,1048,289,532,688,734,796,818,1087
2017,Northern Plains,MT,998,501,53,54,71,75,84,86,74
2017,Northern Plains,ND,1460,77,52,135,165,206,260,237,328
2017,Northern Plains,SD,472,24,42,67,70,54,81,56,78
2017,Northern Plains,WY,437,118,31,38,48,44,47,58,53
2017,Pacific,AK,1987,935,64,109,144,159,143,184,249
2017,Pacific,CA,2963,1184,113,174,211,262,375,351,293
2017,Pacific,HI,26,14,1,1,0,0,4,2,4
2017,Pacific,NV,107,54,3,5,7,12,9,10,7
2017,Pacific,OR,311,141,8,9,23,35,35,32,28
2017,Pacific,WA,1308,566,37,62,86,109,152,116,180
2017,Rocky Mountain,AZ,757,219,33,50,59,70,101,107,118
